Hourly Time,Hourly Sum
2015년 10월 24일   13시,598650.7188
2015년 10월 24일   14시,604113.5664
2015년 10월 24일   15시,601686.332
2015년 10월 24일   16시,597174.3359
2015년 10월 24일   17시,594770.4727
2015년 10월 24일   18시,615185.1836
2015년 10월 24일   19시,610708.8008
2015년 10월 24일   20시,604543.793
2015년 10월 24일   21시,596536.3984
2015년 10월 24일   22시,592388.1836
2015년 10월 24일   23시,585176.5508
2015년 10월 25일   00시,546103.8945
2015년 10월 25일   01시,520383.2031
2015년 10월 25일   02시,505227.6094
2015년 10월 25일   03시,498500.4219
2015년 10월 25일   04시,501369.9062
2015년 10월 25일   05시,511758.4219
2015년 10월 25일   06시,521106.1406
2015년 10월 25일   07시,519172.9023
2015년 10월 25일   08시,516075.3008
2015년 10월 25일   09시,515121.3672
2015년 10월 25일   10시,517941.9414
2015년 10월 25일   11시,517306.1289
2015년 10월 25일   12시,508328.6484
2015년 10월 25일   13시,515682.6133
2015년 10월 25일   14시,519751.3711
2015년 10월 25일   15시,524418.8242
2015년 10월 25일   16시,534196.1563
2015년 10월 25일   17시,552773.8867
2015년 10월 25일   18시,583605.3555
2015년 10월 25일   19시,584800.9414
2015년 10월 25일   20시,582121.8789
2015년 10월 25일   21시,578707.2852
2015년 10월 25일   22시,572623.0898
2015년 10월 25일   23시,557928.1055
2015년 10월 26일   00시,519446.6523
2015년 10월 26일   01시,492767.2109
2015년 10월 26일   02시,483152.5977
2015년 10월 26일   03시,481146.7422
2015년 10월 26일   04시,489278.2031
2015년 10월 26일   05시,510783.5625
2015년 10월 26일   06시,546489.1563
2015년 10월 26일   07시,590444.4531
2015년 10월 26일   08시,647607.793
2015년 10월 26일   09시,671052.0117
2015년 10월 26일   10시,675593.7852
2015년 10월 26일   11시,672959.8477
2015년 10월 26일   12시,630741.1055
2015년 10월 26일   13시,661964.0937
2015년 10월 26일   14시,678817.6992
2015년 10월 26일   15시,680588.5547
2015년 10월 26일   16시,692751.0078
2015년 10월 26일   17시,702273.8906
2015년 10월 26일   18시,711897.7227
2015년 10월 26일   19시,698672.4883
2015년 10월 26일   20시,679498.8359
2015년 10월 26일   21시,660866.2031
2015년 10월 26일   22시,648541.4766
2015년 10월 26일   23시,634407.9727
